tau,alpha,cf,expected depay,sd,type I,type II
110.0,0.8,0.005,27.567161186848438,14.581343476740722,0.0024,0.0
150.0,0.8,0.005,29.309609971853632,20.58735055668839,0.0052,0.0
200.0,0.8,0.005,30.655674691482915,27.80208789108403,0.0114,0.0
300.0,0.8,0.005,33.31603870702082,37.60913124841075,0.0286,0.0
110.0,0.8,0.008,25.645051194539235,14.16528787382993,0.0038,0.0
150.0,0.8,0.008,27.390076643807987,19.769596574625695,0.0084,0.0
200.0,0.8,0.008,28.46465675290284,25.689795590139582,0.0182,0.0
300.0,0.8,0.008,30.582617801047093,34.12232125466853,0.045,0.0
110.0,0.8,0.03,20.58040965321436,12.402390075005787,0.0138,0.0
150.0,0.8,0.03,21.592039800995025,15.69792276352596,0.0352,0.0
200.0,0.8,0.03,21.4892972972973,17.863601647779017,0.075,0.0
300.0,0.8,0.03,20.105797819623376,18.58388306289877,0.1928,0.0
